"Zeitstempel","Video 1: Welcher Song gefällt Ihnen besser?","Video 2: Welcher Song gefällt Ihnen besser?","Video 3: Welcher Song gefällt Ihnen besser?","Video 4: Welcher Song gefällt Ihnen besser?","Video 5: Welcher Song gefällt Ihnen besser?","Video 6: Welcher Song gefällt Ihnen besser?","Video 7: Welcher Song gefällt Ihnen besser?","Video 8: Welcher Song gefällt Ihnen besser?","Video 9: Welcher Song gefällt Ihnen besser?","Video 10: Welcher Song gefällt Ihnen besser?","War es schwierig für Sie, sich für einen Song zu entscheiden oder war die Wahl immer klar?","Ist Ihnen Musik wichtig?","Haben Sie eine musikalische Affinität?","Spielen Sie ein Instrument?","Welchem Geschlecht fühlen Sie sich zugehörig?","Wie alt sind Sie?"
"2023/05/03 11:40:32 PM OESZ","Song B","Song A","Song A","Song B","Song B","Song A","Song B","Song A","Song B","Song B","3","","","","männlich","18-25"
"2023/05/09 11:57:50 AM OESZ","Song A","Song A","Song B","Song B","Song B","Song B","Song B","Song B","Song A","Song B","2","sehr wichtig","ja","ja, hobbymäßig","männlich","25-35"
"2023/05/09 12:31:35 PM OESZ","Song B","Song A","Song B","Song A","Song B","Song B","Song A","Song B","Song A","Song A","4","normal","nein","nein","weiblich","18-25"
"2023/05/09 12:32:27 PM OESZ","Song B","Song A","Song A","Song B","Song A","Song A","Song B","Song B","Song B","Song B","4","sehr wichtig","ja","nein","männlich","18-25"
"2023/05/09 12:37:31 PM OESZ","Song B","Song A","Song B","Song B","Song B","Song B","Song B","Song B","Song B","Song B","4","normal","ja","ja, hobbymäßig","weiblich","18-25"
"2023/05/09 12:40:17 PM OESZ","Song B","Song A","Song A","Song B","Song B","Song A","Song B","Song B","Song B","Song A","3","sehr wichtig","nein","nein","männlich","25-35"
"2023/05/09 12:45:08 PM OESZ","Song A","Song A","Song A","Song B","Song B","Song A","Song B","Song A","Song A","Song A","4","sehr wichtig","ja","ja, hobbymäßig","männlich","25-35"
"2023/05/09 1:11:00 PM OESZ","Song B","Song A","Song A","Song B","Song A","Song A","Song B","Song A","Song A","Song A","2","normal","nein","nein","weiblich","25-35"
"2023/05/09 1:17:59 PM OESZ","Song B","Song A","Song A","Song A","Song B","Song A","Song B","Song A","Song A","Song B","2","sehr wichtig","ja","ja, hobbymäßig","weiblich","25-35"
"2023/05/09 1:57:12 PM OESZ","Song A","Song A","Song B","Song A","Song A","Song B","Song A","Song B","Song A","Song A","3","sehr wichtig","ja","nein","weiblich","25-35"
"2023/05/09 2:11:01 PM OESZ","Song A","Song A","Song B","Song B","Song A","Song B","Song A","Song A","Song A","Song A","4","normal","nein","nein","weiblich","18-25"
"2023/05/09 2:27:42 PM OESZ","Song A","Song A","Song B","Song B","Song B","Song B","Song B","Song B","Song A","Song A","4","sehr wichtig","ja","nein","männlich","18-25"
"2023/05/09 2:45:04 PM OESZ","Song B","Song B","Song A","Song B","Song B","Song A","Song B","Song B","Song B","Song B","2","sehr wichtig","nein","nein","männlich","18-25"
"2023/05/09 2:56:01 PM OESZ","Song B","Song B","Song A","Song B","Song B","Song B","Song B","Song B","Song B","Song B","2","sehr wichtig","ja","ja, hobbymäßig","weiblich","25-35"
"2023/05/09 6:36:32 PM OESZ","Song B","Song A","Song A","Song B","Song A","Song B","Song B","Song B","Song A","Song B","2","sehr wichtig","nein","ja, hobbymäßig","weiblich","18-25"
"2023/05/09 6:45:13 PM OESZ","Song B","Song B","Song A","Song A","Song B","Song A","Song B","Song B","Song A","Song B","2","normal","nein","nein","weiblich","18-25"
"2023/05/09 6:49:35 PM OESZ","Song B","Song B","Song B","Song A","Song B","Song A","Song A","Song A","Song A","Song A","2","sehr wichtig","ja","nein","weiblich","25-35"
"2023/05/09 11:58:39 PM OESZ","Song B","Song B","Song A","Song B","Song B","Song B","Song B","Song B","Song A","Song B","4","sehr wichtig","ja","nein","männlich","18-25"
"2023/05/10 10:44:40 AM OESZ","Song A","Song A","Song A","Song B","Song A","Song B","Song B","Song B","Song A","Song A","4","sehr wichtig","ja","ja, hobbymäßig","männlich","18-25"
"2023/05/10 1:41:08 PM OESZ","Song A","Song B","Song A","Song B","Song B","Song A","Song B","Song B","Song B","Song A","4","sehr wichtig","nein","nein","männlich","18-25"
"2023/05/10 7:19:10 PM OESZ","Song B","Song A","Song B","Song B","Song B","Song A","Song B","Song B","Song A","Song A","2","sehr wichtig","nein","nein","männlich","18-25"
"2023/05/10 8:06:55 PM OESZ","Song A","Song A","Song B","Song B","Song B","Song A","Song B","Song A","Song A","Song B","2","normal","nein","nein","männlich","50-65"
"2023/05/10 9:16:35 PM OESZ","Song A","Song B","Song B","Song A","Song B","Song B","Song B","Song B","Song A","Song B","4","sehr wichtig","ja","nein","männlich","50-65"
"2023/05/10 9:16:37 PM OESZ","Song A","Song B","Song B","Song A","Song B","Song B","Song B","Song A","Song A","Song B","4","sehr wichtig","ja","ja, hobbymäßig","weiblich","50-65"
"2023/05/10 10:18:35 PM OESZ","Song A","Song B","Song A","Song B","Song B","Song A","Song B","Song A","Song A","Song A","2","sehr wichtig","nein","nein","weiblich","18-25"
"2023/05/10 10:29:59 PM OESZ","Song A","Song A","Song A","Song B","Song B","Song A","Song B","Song B","Song A","Song B","4","sehr wichtig","ja","nein","weiblich","18-25"
"2023/05/11 12:03:56 AM OESZ","Song A","Song A","Song B","Song A","Song B","Song A","Song B","Song B","Song A","Song B","2","normal","ja","nein","weiblich","50-65"
"2023/05/11 10:58:51 PM OESZ","Song B","Song A","Song A","Song A","Song B","Song A","Song B","Song B","Song A","Song B","4","sehr wichtig","ja","ja, hobbymäßig","weiblich","25-35"
"2023/05/12 11:52:40 AM OESZ","Song A","Song B","Song A","Song B","Song B","Song B","Song A","Song A","Song A","Song B","1","normal","ja","ja, hobbymäßig","weiblich","18-25"
"2023/05/12 11:55:04 AM OESZ","Song B","Song A","Song A","Song B","Song B","Song B","Song B","Song B","Song A","Song B","3","normal","nein","ja, hobbymäßig","weiblich","25-35"
"2023/05/12 11:56:29 AM OESZ","Song B","Song A","Song B","Song A","Song B","Song A","Song B","Song B","Song A","Song B","1","normal","nein","ja, hobbymäßig","weiblich","18-25"
"2023/05/12 12:00:00 PM OESZ","Song A","Song A","Song B","Song A","Song B","Song A","Song B","Song B","Song A","Song A","3","sehr wichtig","ja","ja, hobbymäßig","weiblich","18-25"
"2023/05/12 12:00:21 PM OESZ","Song A","Song A","Song A","Song A","Song B","Song B","Song A","Song A","Song B","Song A","4","sehr wichtig","ja","ja, professionell","divers","18-25"
"2023/05/12 12:25:10 PM OESZ","Song B","Song A","Song A","Song A","Song B","Song A","Song B","Song B","Song A","Song B","3","sehr wichtig","ja","ja, hobbymäßig","männlich","18-25"
"2023/05/12 1:53:54 PM OESZ","Song B","Song A","Song A","Song A","Song B","Song B","Song B","Song B","Song B","Song B","4","sehr wichtig","ja","nein","männlich","18-25"
"2023/05/13 9:55:09 AM OESZ","Song B","Song A","Song A","Song B","Song B","Song B","Song B","Song B","Song A","Song A","4","normal","nein","nein","weiblich","25-35"
"2023/05/13 12:44:01 PM OESZ","Song A","Song A","Song B","Song A","Song B","Song A","Song B","Song B","Song B","Song B","2","sehr wichtig","ja","ja, hobbymäßig","männlich","18-25"
"2023/05/13 12:50:41 PM OESZ","Song A","Song A","Song A","Song A","Song B","Song B","Song B","Song B","Song B","Song A","2","normal","ja","ja, hobbymäßig","weiblich","18-25"
"2023/05/13 12:51:57 PM OESZ","Song A","Song A","Song B","Song B","Song B","Song A","Song B","Song A","Song A","Song A","4","sehr wichtig","ja","ja, hobbymäßig","männlich","18-25"
"2023/05/13 12:52:31 PM OESZ","Song A","Song B","Song A","Song B","Song B","Song B","Song A","Song A","Song B","Song B","3","normal","ja","nein","männlich","18-25"
"2023/05/13 12:54:36 PM OESZ","Song B","Song A","Song B","Song B","Song B","Song A","Song B","Song A","Song B","Song B","2","normal","nein","nein","weiblich","18-25"
"2023/05/14 1:26:56 PM OESZ","Song A","Song A","Song B","Song A","Song B","Song B","Song B","Song B","Song A","Song B","4","sehr wichtig","ja","ja, hobbymäßig","männlich","35-50"
"2023/05/15 4:20:27 PM OESZ","Song A","Song A","Song B","Song A","Song B","Song A","Song B","Song B","Song A","Song B","2","sehr wichtig","nein","nein","männlich","18-25"
"2023/05/16 11:37:49 AM OESZ","Song B","Song A","Song B","Song B","Song B","Song A","Song B","Song B","Song A","Song A","4","normal","ja","ja, hobbymäßig","weiblich","50-65"
"2023/05/16 12:10:17 PM OESZ","Song B","Song A","Song B","Song A","Song B","Song B","Song A","Song B","Song B","Song B","4","sehr wichtig","ja","ja, hobbymäßig","männlich","18-25"
